Ticker,Word,Count,TotalWordCount,StockPriceChange,WordValue
ORLY,Earnings Misses,1,747,138.09000000000003,0.18485943775100405
ORLY,Macro Economic Events,1,747,138.09000000000003,0.18485943775100405
ORLY,Broad U.S. Equity ETFs,1,747,138.09000000000003,0.18485943775100405
ORLY,Treasuries,1,747,138.09000000000003,0.18485943775100405
ORLY,Economics,1,747,138.09000000000003,0.18485943775100405
ORLY,Federal Reserve,1,747,138.09000000000003,0.18485943775100405
ORLY,Movers,1,747,138.09000000000003,0.18485943775100405
ORLY,ETFs investing Mergers and Acquisitions,1,747,138.09000000000003,0.18485943775100405
LDOS,nan investing Analyst Ratings,1,446,4.480000000000004,0.010044843049327363
LDOS,Upgrades,2,446,4.480000000000004,0.005022421524663681
LDOS,Downgrades,2,446,4.480000000000004,0.005022421524663681
LDOS,Initiation,2,446,4.480000000000004,0.005022421524663681
LDOS,Intraday Update,2,446,4.480000000000004,0.005022421524663681
LDOS,Analyst Ratings,3,446,4.480000000000004,0.0033482810164424544
LDOS,Analyst Ratings investing Analyst Ratings,1,446,4.480000000000004,0.010044843049327363
LDOS,investing nan nan Analyst Ratings Sector ETFs,1,446,4.480000000000004,0.010044843049327363
LDOS,Government,2,446,4.480000000000004,0.005022421524663681
LDOS,Large Cap,1,446,4.480000000000004,0.010044843049327363
LDOS,Financing,1,446,4.480000000000004,0.010044843049327363
LDOS,Contracts,1,446,4.480000000000004,0.010044843049327363
LDOS,Politics,2,446,4.480000000000004,0.005022421524663681
LDOS,Econ #s,1,446,4.480000000000004,0.010044843049327363
LDOS,ETFs,2,446,4.480000000000004,0.005022421524663681
LDOS,investing,1,446,4.480000000000004,0.010044843049327363
LDOS,Analyst Ratings Sector ETFs,1,446,4.480000000000004,0.010044843049327363
LDOS,Global,1,446,4.480000000000004,0.010044843049327363
LDOS,General,1,446,4.480000000000004,0.010044843049327363
LDOS,investing nan nan,1,446,4.480000000000004,0.010044843049327363
AMP,nan nan nan News,1,212,42.79000000000002,0.20183962264150954
AMP,Earnings,1,212,42.79000000000002,0.20183962264150954
AMP,Penny Stocks,1,212,42.79000000000002,0.20183962264150954
AMP,Futures,1,212,42.79000000000002,0.20183962264150954
AMP,Previews,1,212,42.79000000000002,0.20183962264150954
AMP,Top Stories,1,212,42.79000000000002,0.20183962264150954
AMP,Economics,1,212,42.79000000000002,0.20183962264150954
AMP,Federal Reserve,1,212,42.79000000000002,0.20183962264150954
AMP,Pre-Market Outlook,1,212,42.79000000000002,0.20183962264150954
AMP,Markets,1,212,42.79000000000002,0.20183962264150954
AMP,Trading Ideas nan Analyst Ratings nan Analyst Ratings nan nan Analyst Ratings nan,1,212,42.79000000000002,0.20183962264150954
OMC,nan nan Analyst Ratings,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Upgrades,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Downgrades,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Initiation,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Intraday Update,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Analyst Ratings nan nan nan nan News,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Dividends,3,427,-0.8799999999999955,-0.000686963309914126
OMC,Price Target,3,427,-0.8799999999999955,-0.000686963309914126
OMC,Pre-Market Outlook,3,427,-0.8799999999999955,-0.000686963309914126
OMC,Markets,3,427,-0.8799999999999955,-0.000686963309914126
OMC,Analyst Ratings,3,427,-0.8799999999999955,-0.000686963309914126
OMC,Trading Ideas News,1,427,-0.8799999999999955,-0.002060889929742378
OMC,Small Cap,2,427,-0.8799999999999955,-0.001030444964871189
OMC,Trading Ideas,2,427,-0.8799999999999955,-0.001030444964871189
OMC,Analyst Ratings nan nan News,1,427,-0.8799999999999955,-0.002060889929742378
TSCO,investing,5,685,-15.319999999999993,-0.004472992700729925
TSCO,Analyst Ratings,7,685,-15.319999999999993,-0.0031949947862356604
TSCO,News,3,685,-15.319999999999993,-0.007454987834549874
TSCO,Penny Stocks,1,685,-15.319999999999993,-0.022364963503649624
TSCO,Price Target,2,685,-15.319999999999993,-0.011182481751824812
TSCO,Pre-Market Outlook,2,685,-15.319999999999993,-0.011182481751824812
TSCO,Markets,3,685,-15.319999999999993,-0.007454987834549874
TSCO,Trading Ideas investing,2,685,-15.319999999999993,-0.011182481751824812
TSCO,investing investing,6,685,-15.319999999999993,-0.003727493917274937
TSCO,investing investing investing,1,685,-15.319999999999993,-0.022364963503649624
