Rank,Ticker,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales)
243,BKNG,Booking Holdings,Internet Services and Retailing,"21,492","$17,090","$99,859","$3,058",17.9
244,PWR,Quanta Services,Engineering & Construction,"47,300","$17,074","$23,996",$491,2.9
245,EXPD,Expeditors International of Washington,Transportation and Logistics,"20,302","$17,071","$17,009","$1,357",8.0
246,LHX,L3Harris Technologies,Aerospace & Defense,"46,000","$17,062","$37,277","$1,062",6.2
247,RS,Reliance Steel & Aluminum,Metals,"14,750","$17,025","$15,142","$1,840",10.8
248,LYV,Live Nation Entertainment,Entertainment,"20,550","$16,681","$16,211",$296,1.8
249,DISH,DISH Network,Telecommunications,"14,200","$16,679","$4,956","$2,303",13.8
250,DD,DuPont,Chemicals,"23,000","$16,549","$32,895","$5,868",35.5
251,ADP,Automatic Data Processing,Diversified Outsourcing Services,"60,000","$16,498","$92,247","$2,949",17.9
252,GPI,Group 1 Automotive,"Automotive Retailing, Services","15,491","$16,412","$3,194",$752,4.6
253,ARMK,Aramark,Diversified Outsourcing Services,"273,875","$16,327","$9,326",$195,1.2
254,THO,Thor Industries,Motor Vehicles & Parts,"32,000","$16,313","$4,262","$1,138",7.0
255,DXC,DXC Technology,Information Technology Services,"130,000","$16,265","$5,820",$718,4.4
256,VTRS,Viatris,Pharmaceuticals,"37,000","$16,263","$11,513","$2,079",12.8
257,RGA,Reinsurance Group of America,"Insurance: Life, Health (Stock)","3,800","$16,258","$8,876",$623,3.8
258,AZO,AutoZone,Specialty Retailers: Other,"90,720","$16,252","$45,224","$2,430",14.9
259,PHM,PulteGroup,Homebuilders,"6,524","$16,229","$13,073","$2,617",16.1
260,ITW,Illinois Tool Works,Industrial Machinery,"46,000","$15,932","$74,209","$3,034",19.0
261,PH,Parker-Hannifin,Industrial Machinery,"55,090","$15,862","$43,112","$1,316",8.3
262,BWA,BorgWarner,Motor Vehicles & Parts,"52,700","$15,801","$11,481",$944,6.0
263,WLK,Westlake,Chemicals,"15,920","$15,794","$14,812","$2,247",14.2
264,ED,Consolidated Edison,Utilities: Gas and Electric,"14,319","$15,670","$33,967","$1,660",10.6
265,GPS,Gap,Specialty Retailers: Apparel,"95,000","$15,616","$3,693",-$202,-1.3
266,OPEN,Opendoor Technologies,Internet Services and Retailing,"2,570","$15,567","$1,131","-$1,353",-8.7
267,JWN,Nordstrom,General Merchandisers,"60,000","$15,530","$2,606",$245,1.6
268,ABG,Asbury Automotive Group,"Automotive Retailing, Services","13,000","$15,434","$4,557",$997,6.5
269,BALL,Ball,"Packaging, Containers","21,000","$15,349","$17,326",$719,4.7
