Rank,Ticker,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales)
429,ALV,Autoliv,Motor Vehicles & Parts,"65,300","$8,842","$8,013",$423,4.8
430,STZ,Constellation Brands,Beverages,"10,000","$8,821","$41,688",-$40,-0.5
431,HLT,Hilton Worldwide Holdings,"Hotels, Casinos, Resorts","159,000","$8,773","$37,535","$1,255",14.3
432,FL,Foot Locker,Specialty Retailers: Apparel,"31,040","$8,759","$3,708",$342,3.9
433,HUN,Huntsman,Chemicals,"7,000","$8,715","$5,025",$460,5.3
434,BURL,Burlington Stores,Specialty Retailers: Apparel,"38,018","$8,703","$13,123",$230,2.6
435,HTZ,Hertz Global Holdings,"Automotive Retailing, Services","25,000","$8,685","$5,252","$2,059",23.7
436,MAS,Masco,"Home Equipment, Furnishings","19,000","$8,680","$11,207",$844,9.7
437,WSM,Williams-Sonoma,Specialty Retailers: Other,"16,800","$8,674","$8,057","$1,128",13.0
438,CMG,Chipotle Mexican Grill,Food Services,"104,958","$8,635","$47,186",$899,10.4
439,MTB,M&T Bank,Commercial Banks,"22,509","$8,604","$20,093","$1,992",23.1
440,LPLA,LPL Financial Holdings,Securities,"6,415","$8,601","$15,914",$846,9.8
441,CMS,CMS Energy,Utilities: Gas and Electric,"8,817","$8,596","$17,902",$837,9.7
442,CPB,Campbell Soup,Food Consumer Products,"14,700","$8,562","$16,465",$757,8.8
443,AJG,Arthur J. Gallagher,Diversified Financials,"43,640","$8,551","$40,955","$1,114",13.0
444,BX,Blackstone,Diversified Financials,"4,695","$8,518","$62,048","$1,748",20.5
445,DOV,Dover,Industrial Machinery,"25,000","$8,508","$21,237","$1,065",12.5
446,ODP,ODP,Specialty Retailers: Other,"25,000","$8,491","$1,806",$166,2.0
447,PKG,Packaging Corp. of America,"Packaging, Containers","15,100","$8,478","$12,479","$1,030",12.1
448,BHF,Brighthouse Financial,"Insurance: Life, Health (Stock)","1,500","$8,473","$2,986",$5,0.1
449,BECN,Beacon Roofing Supply,Wholesalers: Diversified,"7,478","$8,430","$3,781",$458,5.4
450,ABNB,Airbnb,Internet Services and Retailing,"6,811","$8,399","$79,682","$1,893",22.5
451,BCC,Boise Cascade,Wholesalers: Diversified,"6,840","$8,387","$2,506",$858,10.2
452,BAH,Booz Allen Hamilton Holding,Information Technology Services,"29,300","$8,364","$12,261",$467,5.6
453,WAB,Westinghouse Air Brake Technologies,Industrial Machinery,"27,000","$8,362","$18,226",$633,7.6
454,ON,ON Semiconductor,Semiconductors and Other Electronic Components,"31,055","$8,326","$35,560","$1,902",22.8
455,OSK,Oshkosh,Construction and Farm Machinery,"15,000","$8,282","$5,445",$174,2.1
456,BEN,Franklin Resources,Securities,"9,800","$8,275","$13,480","$1,292",15.6
457,TMHC,Taylor Morrison Home,Homebuilders,"3,000","$8,225","$4,144","$1,053",12.8
458,AMRK,A-Mark Precious Metals,Wholesalers: Diversified,381,"$8,159",$815,$133,1.6
459,KEY,KeyCorp,Commercial Banks,"17,660","$8,130","$11,579","$1,917",23.6
460,ARKO,ARKO,Specialty Retailers: Other,"12,223","$8,128","$1,020",$72,0.9
461,LULU,Lululemon athletica,Specialty Retailers: Apparel,"34,000","$8,111","$46,312",$855,10.5
462,ORI,Old Republic International,Insurance: Property and Casualty (Stock),"9,500","$8,084","$7,399",$686,8.5
463,ZTS,Zoetis,Pharmaceuticals,"13,800","$8,080","$77,053","$2,114",26.2
464,MRO,Marathon Oil,"Mining, Crude-Oil Production","1,570","$8,036","$15,087","$3,612",44.9
465,SJM,J.M. Smucker,Food Consumer Products,"6,700","$7,999","$16,781",$632,7.9
466,HBAN,Huntington Bancshares,Commercial Banks,"19,920","$7,950","$16,236","$2,238",28.2
467,NGL,NGL Energy Partners,Pipelines,842,"$7,948",$381,-$185,-2.3
468,INGR,Ingredion,Food Production,"11,700","$7,946","$6,711",$492,6.2
469,FBIN,Fortune Brands Innovations,"Building Materials, Glass","11,200","$7,923","$7,457",$687,8.7
470,PPL,PPL,Utilities: Gas and Electric,"6,527","$7,902","$20,472",$756,9.6
471,SANM,Sanmina,Semiconductors and Other Electronic Components,"36,000","$7,891","$3,559",$256,3.2
472,BBBY,Bed Bath & Beyond,Specialty Retailers: Other,"32,000","$7,868",$183,-$560,-7.1
473,CTAS,Cintas,Diversified Outsourcing Services,"43,000","$7,855","$47,042","$1,236",15.7
474,NCR,NCR,"Computers, Office Equipment","35,000","$7,844","$3,304",$60,0.8
475,ABM,ABM Industries,Diversified Outsourcing Services,"127,000","$7,807","$2,971",$230,3.0
476,ROK,Rockwell Automation,"Electronics, Electrical Equip.","26,000","$7,760","$33,683",$932,12.0
477,NTRS,Northern Trust,Commercial Banks,"23,600","$7,752","$18,309","$1,336",17.2
478,XPO,XPO,Transportation and Logistics,"39,500","$7,718","$3,685",$666,8.6
479,SAIC,Science Applications International,Information Technology Services,"25,000","$7,704","$5,871",$300,3.9
480,AEE,Ameren,Utilities: Gas and Electric,"9,244","$7,662","$22,675","$1,074",14.0
481,FAF,First American Financial,Insurance: Property and Casualty (Stock),"21,153","$7,605","$5,750",$263,3.5
482,BBWI,Bath & Body Works,Specialty Retailers: Other,"33,000","$7,560","$8,368",$800,10.6
483,RF,Regions Financial,Commercial Banks,"20,073","$7,531","$17,346","$2,245",29.8
484,ATVI,Activision Blizzard,Entertainment,"13,000","$7,528","$67,126","$1,513",20.1
485,AVTR,Avantor,"Scientific, Photographic and Control Equipment","14,500","$7,512","$14,271",$687,9.1
486,GNW,Genworth Financial,"Insurance: Life, Health (Stock)","2,500","$7,507","$2,477",$609,8.1
487,EQT,EQT,Energy,744,"$7,498","$11,499","$1,771",23.6
488,SKX,Skechers U.S.A.,Apparel,"11,450","$7,445","$7,379",$373,5.0
489,LSTR,Landstar System,"Trucking, Truck Leasing","1,449","$7,440","$6,457",$431,5.8
490,KNX,Knight-Swift Transportation Holdings,"Trucking, Truck Leasing","28,300","$7,429","$9,106",$771,10.4
491,SIVBQ,SVB Financial Group,Commercial Banks,"8,553","$7,401",$54,"$1,672",22.6
492,PARR,Par Pacific Holdings,Petroleum Refining,"1,397","$7,322","$1,773",$364,5.0
493,ALB,Albemarle,Chemicals,"7,400","$7,320","$25,928","$2,690",36.7
494,VMC,Vulcan Materials,"Building Materials, Glass","11,974","$7,315","$22,827",$576,7.9
495,WSO,Watsco,Wholesalers: Diversified,"7,238","$7,274","$12,354",$601,8.3
496,KKR,KKR,Securities,"4,150","$7,273","$45,225",-$841,-11.6
497,EQIX,Equinix,Real Estate,"12,097","$7,263","$66,873",$704,9.7
498,SON,Sonoco Products,"Packaging, Containers","22,000","$7,251","$5,975",$466,6.4
499,NOW,ServiceNow,Computer Software,"20,433","$7,245","$94,338",$325,4.5
500,RHI,Robert Half International,Temporary Help,"16,300","$7,238","$8,677",$658,9.1
